Hour_of_Day,BORO,Age,Count_of_Incident
15,MANHATTAN,<18,14
15,MANHATTAN,18-24,31
15,MANHATTAN,25-44,40
15,MANHATTAN,45-64,4
15,MANHATTAN,65+,3
15,QUEENS,<18,20
15,QUEENS,18-24,37
15,QUEENS,25-44,50
15,QUEENS,45-64,6
15,STATEN ISLAND,<18,11
15,STATEN ISLAND,18-24,11
15,STATEN ISLAND,25-44,9
15,STATEN ISLAND,45-64,1
16,BRONX,<18,34
16,BRONX,18-24,120
16,BRONX,25-44,86
16,BRONX,45-64,18
16,BRONX,65+,6
16,BROOKLYN,<18,60
16,BROOKLYN,18-24,151
16,BROOKLYN,25-44,170
16,BROOKLYN,45-64,28
16,BROOKLYN,65+,4
16,MANHATTAN,<18,18
16,MANHATTAN,18-24,52
16,MANHATTAN,25-44,47
16,MANHATTAN,45-64,16
16,MANHATTAN,65+,1
16,QUEENS,<18,17
16,QUEENS,18-24,61
16,QUEENS,25-44,43
16,QUEENS,45-64,14
16,STATEN ISLAND,<18,2
16,STATEN ISLAND,18-24,10
16,STATEN ISLAND,25-44,6
16,STATEN ISLAND,45-64,1
16,STATEN ISLAND,65+,1
17,BRONX,<18,50
17,BRONX,18-24,92
17,BRONX,25-44,123
17,BRONX,45-64,20
17,BRONX,65+,3
17,BROOKLYN,<18,82
17,BROOKLYN,18-24,170
17,BROOKLYN,25-44,179
17,BROOKLYN,45-64,35
17,BROOKLYN,65+,4
17,MANHATTAN,<18,14
17,MANHATTAN,18-24,27
17,MANHATTAN,25-44,33
17,MANHATTAN,45-64,17
17,QUEENS,<18,7
17,QUEENS,18-24,44
17,QUEENS,25-44,68
17,QUEENS,45-64,11
17,QUEENS,65+,1
17,STATEN ISLAND,<18,1
17,STATEN ISLAND,18-24,10
17,STATEN ISLAND,25-44,15
17,STATEN ISLAND,45-64,3
18,BRONX,<18,45
18,BRONX,18-24,142
18,BRONX,25-44,124
18,BRONX,45-64,14
18,BRONX,65+,6
18,BROOKLYN,<18,68
18,BROOKLYN,18-24,218
18,BROOKLYN,25-44,186
18,BROOKLYN,45-64,33
18,BROOKLYN,65+,9
18,MANHATTAN,<18,18
18,MANHATTAN,18-24,44
18,MANHATTAN,25-44,60
18,MANHATTAN,45-64,10
18,MANHATTAN,65+,2
18,QUEENS,<18,8
18,QUEENS,18-24,49
18,QUEENS,25-44,54
18,QUEENS,45-64,10
18,QUEENS,65+,2
18,STATEN ISLAND,<18,1
18,STATEN ISLAND,18-24,7
18,STATEN ISLAND,25-44,11
18,STATEN ISLAND,45-64,8
19,BRONX,<18,53
19,BRONX,18-24,148
19,BRONX,25-44,137
19,BRONX,45-64,32
19,BRONX,65+,2
19,BROOKLYN,<18,85
19,BROOKLYN,18-24,233
19,BROOKLYN,25-44,204
19,BROOKLYN,45-64,44
19,BROOKLYN,65+,5
19,MANHATTAN,<18,31
19,MANHATTAN,18-24,79
19,MANHATTAN,25-44,69
19,MANHATTAN,45-64,17
19,MANHATTAN,65+,1
19,QUEENS,<18,11
19,QUEENS,18-24,64
19,QUEENS,25-44,79
19,QUEENS,45-64,15
19,QUEENS,65+,1
19,STATEN ISLAND,<18,8
19,STATEN ISLAND,18-24,15
19,STATEN ISLAND,25-44,21
19,STATEN ISLAND,45-64,6
20,BRONX,<18,51
20,BRONX,18-24,196
20,BRONX,25-44,214
20,BRONX,45-64,20
20,BRONX,65+,2
20,BROOKLYN,<18,70
20,BROOKLYN,18-24,228
20,BROOKLYN,25-44,292
20,BROOKLYN,45-64,49
20,BROOKLYN,65+,6
20,MANHATTAN,<18,35
20,MANHATTAN,18-24,77
20,MANHATTAN,25-44,67
20,MANHATTAN,45-64,15
20,QUEENS,<18,22
20,QUEENS,18-24,57
20,QUEENS,25-44,109
20,QUEENS,45-64,15
20,QUEENS,65+,1
20,STATEN ISLAND,<18,1
20,STATEN ISLAND,18-24,19
20,STATEN ISLAND,25-44,17
20,STATEN ISLAND,45-64,8
20,STATEN ISLAND,65+,1
21,BRONX,<18,88
21,BRONX,18-24,222
21,BRONX,25-44,266
21,BRONX,45-64,42
21,BROOKLYN,<18,95
21,BROOKLYN,18-24,249
21,BROOKLYN,25-44,343
21,BROOKLYN,45-64,46
21,BROOKLYN,65+,2
21,MANHATTAN,<18,27
21,MANHATTAN,18-24,73
21,MANHATTAN,25-44,104
21,MANHATTAN,45-64,10
21,QUEENS,<18,27
21,QUEENS,18-24,100
21,QUEENS,25-44,95
21,QUEENS,45-64,20
21,STATEN ISLAND,<18,5
21,STATEN ISLAND,18-24,14
21,STATEN ISLAND,25-44,19
21,STATEN ISLAND,45-64,5
22,BRONX,<18,75
22,BRONX,18-24,247
22,BRONX,25-44,234
22,BRONX,45-64,35
22,BRONX,65+,1
22,BROOKLYN,<18,88
22,BROOKLYN,18-24,330
22,BROOKLYN,25-44,391
22,BROOKLYN,45-64,59
22,BROOKLYN,65+,3
22,MANHATTAN,<18,35
22,MANHATTAN,18-24,92
22,MANHATTAN,25-44,113
22,MANHATTAN,45-64,10
22,MANHATTAN,65+,1
22,QUEENS,<18,22
22,QUEENS,18-24,97
22,QUEENS,25-44,120
22,QUEENS,45-64,14
22,QUEENS,65+,5
22,STATEN ISLAND,<18,10
22,STATEN ISLAND,18-24,11
22,STATEN ISLAND,25-44,24
22,STATEN ISLAND,45-64,3
23,BRONX,<18,100
23,BRONX,18-24,271
23,BRONX,25-44,255
23,BRONX,45-64,32
23,BRONX,65+,1
23,BROOKLYN,<18,88
23,BROOKLYN,18-24,342
23,BROOKLYN,25-44,395
23,BROOKLYN,45-64,48
23,BROOKLYN,65+,1
23,MANHATTAN,<18,38
23,MANHATTAN,18-24,107
23,MANHATTAN,25-44,141
23,MANHATTAN,45-64,16
23,MANHATTAN,65+,2
23,QUEENS,<18,39
23,QUEENS,18-24,97
23,QUEENS,25-44,134
23,QUEENS,45-64,23
23,QUEENS,65+,3
23,STATEN ISLAND,<18,6
23,STATEN ISLAND,18-24,22
23,STATEN ISLAND,25-44,20
23,STATEN ISLAND,45-64,3
23,STATEN ISLAND,65+,3
